"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes.sum","dram__bytes_read.sum","dram__bytes_write.sum","dram__throughput.avg.pct_of_peak_sustained_elapsed","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","gpu__time_duration.avg","sm__cycles_elapsed.avg","sm__cycles_elapsed.avg.per_second","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","sm__throughput.avg.pct_of_peak_sustained_elapsed"
"","","","","","","","","","","","byte","byte","byte","%","%","ns","cycle","hz","%","%"
"0","894303","kernel_tma_gemm_launch1","127.0.0.1","kernel_tma_gemm","1","7","(128, 1, 1)","(40, 1, 1)","0","12.0","13468928","13468928","0","25.43","25.43","30048","77190.74","2568914442.77","6.24","6.24"
