"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes.sum","dram__bytes_read.sum","dram__bytes_write.sum","dram__throughput.avg.pct_of_peak_sustained_elapsed","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","gpu__time_duration.avg","sm__cycles_elapsed.avg","sm__cycles_elapsed.avg.per_second","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","sm__throughput.avg.pct_of_peak_sustained_elapsed"
"","","","","","","","","","","","byte","byte","byte","%","%","ns","cycle","hz","%","%"
"0","888333","vectorAdd","127.0.0.1","vectorAdd(const float *, const float *, float *, int)","1","7","(256, 1, 1)","(7813, 1, 1)","0","12.0","16002560","16002560","0","78.08","78.08","11680","29642.67","2537899879.13","0","12.75"
