"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes.sum","dram__bytes_read.sum","dram__bytes_write.sum","dram__throughput.avg.pct_of_peak_sustained_elapsed","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","gpu__time_duration.avg","sm__cycles_elapsed.avg","sm__cycles_elapsed.avg.per_second","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","sm__throughput.avg.pct_of_peak_sustained_elapsed"
"","","","","","","","","","","","byte","byte","byte","%","%","ns","cycle","hz","%","%"
"0","883427","flash_attention_kernel_launch1","127.0.0.1","flash_attention_kernel","1","7","(128, 1, 1)","(8, 1024, 1)","0","12.0","254753536","205554944","49198592","44.44","44.44","324864","797247.12","2454094998.67","27.85","27.85"
